,Date,Retweets,Replies,Likes,Volume,positive_score,negative_score,neutral_score,positive_percentage,negative_percentage,neutral_percentage,positive_count,negative_count,neutral_count,General_score,Open,Close
2016-05-31,2016-05-31,0.0,0.0,0.0,7,0.28579701110720634,0.028444083141429044,0.6857588887214661,0.2857142857142857,0.0,0.7142857142857143,2,0,5,0.2857142857142857,220.0599975585937,218.94000244140625
2016-06-01,2016-06-01,0.0,0.0,0.0,4,0.1777268750593066,0.016860623145475928,0.8054125085473061,0.25,0.0,0.75,1,0,3,0.25,222.5,227.5
2016-06-02,2016-06-02,0.2916666666666667,0.041666666666666664,0.75,24,0.30466327676549554,0.03570380108430978,0.6596329345678289,0.2916666666666667,0.0,0.7083333333333334,7,0,17,0.2916666666666667,225.7700042724609,227.82000732421875
2016-06-03,2016-06-03,0.0,0.0,0.0,13,0.1263177119052181,0.12106338766618413,0.752618900858439,0.07692307692307693,0.07692307692307693,0.8461538461538461,1,1,11,0.0,227.41000366210935,224.9499969482422
2016-06-06,2016-06-06,0.3076923076923077,0.23076923076923078,0.15384615384615385,13,0.1149729944479007,0.05314059455234265,0.83188640498198,0.07692307692307693,0.0,0.9230769230769231,1,0,12,0.07692307692307693,224.9199981689453,221.67999267578125
2016-06-07,2016-06-07,0.0,0.0,0.23076923076923078,13,0.04979558647252041,0.292577773404236,0.6576266472156231,0.0,0.3076923076923077,0.6923076923076923,0,4,9,-0.3076923076923077,221.3099975585937,220.8000030517578
2016-06-08,2016-06-08,0.8,0.1,0.2,10,0.1291684616357088,0.11603159867227072,0.7547999441623687,0.1,0.0,0.9,1,0,9,0.1,218.1300048828125,223.0800018310547
2016-06-09,2016-06-09,0.14285714285714285,0.0,0.42857142857142855,7,0.1042557608868394,0.07398367699767859,0.8217605437551226,0.0,0.0,1.0,0,0,7,0.0,222.19000244140625,222.97000122070312
2016-06-10,2016-06-10,0.13333333333333333,0.06666666666666667,0.0,15,0.15334535650908948,0.18714602937300998,0.6595086057980856,0.13333333333333333,0.13333333333333333,0.7333333333333333,2,2,11,0.0,220.259994506836,223.52999877929688
2016-06-13,2016-06-13,0.0,0.0,0.06666666666666667,15,0.09201660181085265,0.09883585292845962,0.8091475486755371,0.06666666666666667,0.06666666666666667,0.8666666666666667,1,1,13,0.0,223.4199981689453,223.27999877929688
